"","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"1","2022-12-06",1908,"FIFA World Cup","Portugal","Switzerland",85.8,78.51,0.6158,0.3842,0,1.51,1.08,6,1,1.34,0.98,1.42,0.7,5.78,1.05
"2","2022-11-24",1908,"FIFA World Cup","Uruguay","South Korea",80.9,66.12,0.5256,0.1906,0.2838,1.52,0.8,0,0,0.48,0.4,0.89,0.74,0,0
"3","2022-11-22",1908,"FIFA World Cup","Denmark","Tunisia",80.02,65.85,0.5001,0.2054,0.2945,1.44,0.82,0,0,0.66,1.16,1.33,0.69,0,0
"4","2022-11-25",1908,"FIFA World Cup","England","USA",86.26,72.63,0.5436,0.1965,0.2598,1.73,0.94,0,0,0.62,0.52,1.34,0.74,0,0
"5","2022-11-27",1908,"FIFA World Cup","Spain","Germany",91.22,88.73,0.4619,0.2781,0.26,1.72,1.28,1,1,0.57,0.91,1.32,1.06,1.05,1.05
"6","2022-12-05",1908,"FIFA World Cup","Brazil","South Korea",92.9,69.4,0.8261,0.1739,0,1.89,0.58,4,1,2.96,0.67,1.56,0.69,4.2,1.05
"7","2022-12-02",1908,"FIFA World Cup","Serbia","Switzerland",74.72,77,0.3126,0.3965,0.2909,1.18,1.36,2,3,0.64,2.42,1.47,1.28,2.1,3.15
"8","2022-12-14",1908,"FIFA World Cup","France","Morocco",87.72,75.13,0.6646,0.3354,0,1.38,0.82,2,0,1.4,0.79,1.43,0.7,1.87,0
"9","2022-12-01",1908,"FIFA World Cup","Canada","Morocco",71.52,74.99,0.2898,0.3956,0.3147,0.99,1.21,1,2,0.98,0.37,0.68,0.24,1.05,2.1
"10","2022-12-02",1908,"FIFA World Cup","South Korea","Portugal",66.93,87.55,0.1666,0.5866,0.2468,0.86,1.84,2,1,0.85,0.9,0.72,0.64,2.1,1.05
"11","2022-11-25",1908,"FIFA World Cup","Qatar","Senegal",48.16,73.23,0.2098,0.5228,0.2674,0.96,1.66,1,3,0.94,0.75,1.06,1.28,1.05,2.81
"12","2022-11-25",1908,"FIFA World Cup","Wales","Iran",67.64,63.33,0.3875,0.2969,0.3156,1.2,1.01,0,2,0.9,1.43,0.89,1.67,0,1.26
"13","2022-12-04",1908,"FIFA World Cup","France","Poland",88.57,65.77,0.8133,0.1867,0,1.99,0.71,3,1,1.17,1.91,1.54,0.85,2.52,1.05
"14","2022-11-26",1908,"FIFA World Cup","France","Denmark",89.25,78.87,0.5064,0.2192,0.2744,1.6,0.96,2,1,2.06,0.5,2.3,0.7,2.1,1.05
"15","2022-12-02",1908,"FIFA World Cup","Ghana","Uruguay",60.5,79.28,0.1564,0.5669,0.2766,0.68,1.57,0,2,1.35,1.12,0.73,1.44,0,2.1
